Time,Author,Headline,Target
2018/9/6 12:29,NickReitz,Bitcoin stuck in a descending triangle?,BTCUSD
2018/9/8 23:29,YoungShkreli,YoungShkreli is UP $500/btc short - deja vu - get his take here!,BTCUSD
2018/9/11 14:47,yoCryptoManic,Bitcoin needed to avoid a reversal,XBTUSD
2018/9/28 16:16,TOPSPTNO1,2018/09/28 Bitcoin Short term Analysis,BTCUSD
2018/9/30 1:05,Gibmoses,[BTC/USD] BTC HIT DOUBLE TOP - LONG OR SHORT?,BTCUSD
2018/10/2 17:57,lucamodena,Short Bitcoin!,BTCUSD
2018/10/3 9:21,tradingwithanthony,$BTC short on momentum to downside,BTCUSDT
2018/10/4 4:47,Darif,Bitcoin soon to be going down,BTCUSD
2018/10/17 0:16,ridethepig,An update to our BTC chart,BTCUSD
2018/10/18 2:42,Xzhi,Bitcoin (BTC) Needs another pump if it is to break 6550.,BTCUSD
2018/10/31 0:31,andypro16,Bearish long term,BTCUSD
2018/11/13 9:21,Trading_an_Edge,Shorting Bitcoin,BTCUSD
2018/11/15 4:10,SMPTrader,Bitcoin Biggest Bear DROP coming !!!,BTCUSD
2018/11/15 19:19,Mdotee.,SHORT BITCOIN,BTCUSD
2018/11/16 7:15,tokyoswan,Bitcoin BTCUSD,BTCUSD
2018/11/17 2:27,astronautdotgg,"Bitcoin - The Road to $5,000?",XBTUSD
2018/11/17 13:00,HighBidLowBid,BTC Next move - Maximizing profits and limiting losses,BTCUSD
2018/11/19 12:07,Robert_Warner,You better throw in a short,BTCUSDT
2018/11/19 18:36,willyhops,what is actual price of bitcoin?,BTCUSD
2018/11/22 7:39,Velasco,"Possible downtrend Wave 5 , greedy when others are fearful",BTCUSD
2018/11/24 20:23,Crypt0zTrading,Bitcoin Short - 12 Months remain,BTCUSD
2018/12/5 21:54,madsroland,Look out for this one to break,BTCUSD
2018/12/7 20:59,CommanderCrypto,Dec 07 - Bearish flag pattern forming - Target 3k,BTCUSD
2018/12/9 12:20,SnarkLife,Bitcoin's Measured move and how to profit from it,BTCUSD
2018/12/11 21:55,dave83,my bitcoin prediction for the coming days,BTCUSD
2018/12/12 21:24,chorny.capital,Bitcoin (BTCUSD) short.,BTCUSD
2018/12/16 19:04,hamed_zahani,bitcoin target is 2960,XBTUSD
2018/12/18 8:49,TorreSassen,"A Real Nice Bulltrap. CLOSE YOUR LONGS, GO SHORT!",BTCUSD
2018/12/19 14:54,five_min_cahrts,"Btc is likely to go down from here, shorting is legal.",XBTUSD
2018/12/27 13:00,MartinTFWong,Ready to Take Profit for Bitcoin,BTCUSD
2019/1/1 18:24,FXcity_Educational_Institute,Get ready to short Bitcoin This is my new year Gift to you all,BTCUSD
2019/1/5 12:49,jak0o,BTC Still needs correcting,BTCUSD
2019/1/7 21:43,raserrano,#BTC short,BTCUSD
2019/1/7 23:09,rzmb44,Looking to Short Bitcoin in this Area,XBTUSD
2019/1/10 21:54,ClementeRodriguezThalassinos,BTC POSIBLE VENTA BITCOIN SHORT,BTCUSD
2019/1/12 12:41,ReinisLeja,What if? Bitcoin still can do this?,BTCUSD
2019/1/14 2:00,RoyalTradeSociety,Bitcoin (BTCUSD) Short,BTCUSD
2019/1/17 9:57,Cincottitrader,Bearish Rising Wedge inside Bear Flag,BTCUSDT
2019/1/21 21:47,vladov211,I think now it is time to short bitcoin,BTCUSD
2019/1/24 5:22,owner232,Short Bitcoin Bitmex Trade Signal,XBTUSD
2019/1/25 19:49,DACapitalTrading,CRYPTO: BITCOIN - TREND - 25. JAN. 2019,XBTUSD
2019/2/12 14:38,OITHE,"Breaking News! Fibonacci says: ""Short Bitcoin till June"" !!!",BTCUSD
2019/2/14 1:31,stackgreenbacks,POSSIBLE SHORT PLAY SINCE BITCOIN FAILS TO MOVE HIGHER.,BTCUSD
2019/2/22 23:51,CryptoCoda,SHORT BITCOIN,BTCUSD
2019/2/23 18:59,cacikkk,time is now,BTCUSD
2019/2/24 0:33,cryptokapo,XBTUSD Short Idea,XBT
2019/3/19 11:02,WhiskeyTangoFoxtrot3,Forever Short Bitcoin,BTCUSD
2019/3/20 10:10,CryptoCurrencyAlerts,I'd call this an EASY SHORT. My educated unlicensed opinion $btc,BTCUSD
2019/3/20 20:36,UnknownUnicorn1866407,XBT 2nd attempt to break above the cloud. Ichimoku says it all.,XBT
2019/3/22 13:15,WhiskeyTangoFoxtrot3,Bitcoin Long is Overcrowded Trade,BTCUSD
2019/3/22 14:13,jordanmorin13,NASTY NASTY NASTY MEGA MEGA INSANE INSANE INSANE INSANE DROP!!!!,BTCUSD
2019/3/22 17:41,anthoriosanto,"BTCUSD, next years forecast",BTCUSD
2019/3/25 18:58,UnknownUnicorn3026414,BTCUSD 4H SHORT,BTCUSD
2019/3/30 0:34,five_min_cahrts,This is why im shorting bitcoin going into the weekend.,XBTUSD
2019/3/30 22:35,DFauvre,I'd short bitcoin...,BTCUSD
2019/4/1 0:41,binishaqabdulla,bitcoin short stop above the line,BTCUSDT
2019/4/1 17:26,farzinsabbagh,A falling wedge on Bitcoin shorts,BTCUSDSHORTS
2019/4/7 20:36,Bitstamper,BTCUSD SHORT (Back to 4500$-4700$) THEN 6k,BTCUSD
2019/4/9 3:42,jordanmorin13,*DISCLAIMER BELOW* BITCOIN CORRECTION INCOMING!!!!,BTCUSD
2019/4/11 7:52,reneordosgoitia,Short Bitcoin approach,BTCUSD
2019/4/14 19:08,qrDanielqr,Shorting Bitcoin for another 4-5% Drop,BTCUSD
2019/4/16 7:22,dave83,Bitcoin Weekly/daily and elliot wave count,BTCUSD
2019/4/16 16:21,FarmanBangashh,BTC heading 4000 zone upcoming two weeks,BTCUSDT
2019/4/22 4:05,SM2K,Bitcoin about to fall in to a big pit,XBTUSD
2019/4/23 2:49,DrLotto,Short Bitcoin Short,BTCUSD
2019/4/23 19:55,welcome_universe,Shorting bitcoin for potential target 5350 and stop loss 5650,BTCUSD
2019/4/24 15:19,RomaniaTrade,Bitcoin flush break. Short it while still solid.,BTCUSD
2019/4/25 4:31,TrimmerTrading,When the indicators align: Confluent reasons to suggest pullback,BTCUSD
2019/4/26 19:38,SM2K,"Sea of RED, inverse MOON",XBT
2019/4/27 7:16,kickflip360,Bitcoin Back Up To 5400 And Then Down,BTCUSD
2019/5/1 23:57,jordanmorin13,MY PREDICTION FOR THIS MARKET HOWEVER,BTCUSD
2019/5/2 23:43,traderzilla,Is this the perfect time to short Bitcoin?,BTCUSD
2019/5/4 12:19,HenriTrades,Shorted the corn,XBTUSD
2019/5/4 19:02,MrRenev,Crypto traders take profit early and let their losers run...,(BTCUSD+XBTUSD+BTCUSD+XBTUSD+BTCUSD)/5
2019/5/4 22:10,TehranCrypto,Bitcoin - Expanding Diagonal,BTCUSD
2019/5/7 2:16,morteza,Bitcoin - SHORT,BTCUSD
2019/5/11 0:34,FiboSwanny,Watch this narrow $100 range as resistance in $BTC,BTCUSD
2019/5/11 1:24,Paranoid_Trade_Decisons,Short Bitcoin on overbought conditions,BTCUSD
2019/5/12 8:23,scottystu,BITCOIN - EASY SHORT. COVER AT $6290,BTC1!
2019/5/12 9:30,Mdotee.,"SHORT BITCOIN (AGAIN, SIGH)",BTCUSD
2019/5/12 10:58,Oldschool_CBM,Short Bitcoin from Crypto Beasts,BTCUSDT
2019/5/13 14:56,Oldschool_CBM,Short Bitcoin from crypto Beasts,BTCUSDT
