Date,Price,Volume,Index,Spreads,Hash,GT,GD,ABT
20180831,6999.905,4210,17,0.033539737,52172772.02,9,1206.85,558.9612903
20180901,7148.805,3520,21,0.037867229,51243033.07,9,1416.36,564.4569536
20180902,7264.545,3900,18,0.038538113,48254902.47,10,1451.12,605.3888889
20180903,7277.735,3870,19,0.037015243,48084182.09,10,1201.7,601.1041667
20180904,7332.205,3920,26,0.032018481,43048125.98,10,1195.75,671.1031746
20180905,7047.745,4550,17,0.033764482,44771305.68,10,1194.7,668.4318182
20180906,6511.15,4020,14,0.043098569,50193410.22,10,1204.3,576.2
20180907,6447.435,3300,17,0.044076876,52693944.12,10,1200.75,569.8223684
20180908,6307.665,3460,18,0.054698044,52458745.27,10,1265.18,571.3066667
20180909,6306.54,2840,13,0.05268451,56750696.57,9,1265.18,533.4846626
20180910,6309.53,3110,15,0.034344823,47998870.92,9,1195.8,630.8222222
20180911,6307.35,3300,18,0.034670038,49203902.63,9,1194,621.8085106
20180912,6283.085,3040,14,0.037087492,58648101.22,9,1197.8,512.6309524
20180913,6435.985,3530,20,0.034547232,51522943.95,9,1206.65,584.8986486
20180914,6492.715,3200,23,0.035370045,46559155.88,9,1206.2,649.9090909
20180915,6523.33,3160,24,0.16349215,48920884.55,9,1253.87,620.8428571
20180916,6464.68,3340,28,0.050368063,49952787.39,9,1210.66,610.4748201
20180917,6377.825,3260,25,0.046818072,46895615.12,9,1196.8,653.4296296
20180918,6315.82,2820,21,0.036257962,49708928.36,9,1199.4,607.9225352
20180919,6326.96,3540,24,0.036380173,54352189.96,9,1203,554.2820513
20180920,6456.63,5180,24,0.03079948,53968948.98,9,1203,560.9350649
20180921,6643.115,7730,31,0.046205197,52032580.01,9,1207.6,596.5
20180922,6733.75,7310,35,0.05080806,55031293.67,9,1331.85,559.9677419
20180923,6716.23,7340,38,0.056065338,53817368.26,8,1349.22,574.1866667
20180924,6637.71,7570,43,0.052938371,54079252.38,8,1198.75,581.7432432
